Frequency	amp(Vo9)	phase(Vo9)
100	1.85914	34.8208
114.815	2.36017	38.3539
131.826	2.93554	41.7672
151.356	3.59199	45.1989
173.78	4.33318	48.3817
199.526	5.16471	51.0236
229.087	6.05725	53.6077
263.027	6.996	55.8445
301.995	7.98612	57.6563
346.737	9.01321	59.0329
398.107	10.0694	59.9665
457.088	11.1481	60.4296
524.807	12.2535	60.2701
602.56	13.3689	59.5771
691.831	14.4895	58.3319
794.328	15.6083	56.4824
912.011	16.7282	54.0655
1047.13	17.8293	51.0446
1202.26	18.9062	47.1942
1380.38	19.9456	42.4967
1584.89	20.9358	36.9281
1819.7	21.8611	30.4078
2089.3	22.6952	22.8485
2398.83	23.3885	14.0786
2754.23	23.913	4.21853
3162.28	24.0528	-6.74021
3630.78	23.9407	-18.1154
4168.69	23.6151	-30.2832
4786.3	22.8579	-44.5634
5495.41	21.6315	-56.054
6309.57	20.246	-65.5456
7244.36	18.8196	-73.2082
8317.64	17.3386	-79.4206
9549.93	15.8591	-84.7504
10964.8	14.401	-88.8807
12589.3	12.8874	-92.6333
14454.4	11.3991	-95.8749
16595.9	9.63724	-98.1986
19054.6	8.59585	-100.983
21877.6	7.23418	-102.476
25118.9	4.06126	-109.894
28840.3	4.44365	-109.964
33113.1	3.98221	-120.989
38018.9	2.20857	-108.704
43651.6	0.457379	-97.5858
50118.7	-0.244485	-71.562
57544	-2.56754	-101.03
66069.3	-2.10886	-102.945
75857.8	-5.61458	-107.761
87096.4	-5.80085	-114.819
100000	-4.31089	-96.4788
