Frequency	amp(IQ)	phase(IQ)
10	48.877	25.5163
10.9648	49.1777	27.2264
12.0226	49.519	28.9348
13.1826	49.9107	30.6065
14.4544	50.3432	32.1898
15.8489	50.8454	33.6906
17.378	51.3981	35.0047
19.0546	52.0204	36.0824
20.893	52.7092	36.8348
22.9087	53.4785	37.2394
25.1189	54.3275	37.1461
27.5423	55.26	36.3309
30.1995	56.297	34.7167
33.1131	57.4198	31.8937
36.3078	58.6401	27.4983
39.8107	59.8994	20.8441
43.6516	61.1014	11.3185
47.863	61.9994	-1.60926
52.4807	62.3057	-17.041
57.544	61.8633	-32.5709
63.0957	60.8194	-45.8191
69.1831	59.4814	-55.9409
75.8578	58.0647	-63.341
83.1764	56.6806	-68.7458
91.2011	55.3699	-72.6876
100	54.1263	-75.8868
109.648	52.9593	-78.1032
120.226	51.8625	-80.0082
131.826	50.806	-81.5717
144.544	49.8016	-82.7844
158.489	48.8289	-83.8314
173.78	47.8897	-84.7141
190.546	46.9733	-85.5052
208.93	46.0755	-86.1994
229.087	45.1916	-86.848
251.189	44.327	-87.3873
275.423	43.4657	-87.9384
301.995	42.6222	-88.4407
331.131	41.7758	-88.9219
363.078	40.9548	-89.3396
398.107	40.1285	-89.7815
436.516	39.3095	-90.1903
478.63	38.4856	-90.6327
524.807	37.6715	-91.0666
575.44	36.8603	-91.5103
630.957	36.0474	-91.9583
691.831	35.2379	-92.4628
758.578	34.4292	-92.9508
831.764	33.6314	-93.4566
912.011	32.8179	-94.0123
1000	32.0192	-94.5619
1096.48	31.2104	-95.2267
1202.26	30.4136	-95.8943
1318.26	29.6013	-96.6497
1445.44	28.8056	-97.4505
1584.89	28.0052	-98.2954
1737.8	27.2001	-99.225
1905.46	26.4067	-100.201
2089.3	25.6075	-101.33
2290.87	24.813	-102.511
2511.89	24.021	-103.736
2754.23	23.2101	-103.884
3019.95	22.4015	-103.932
3311.31	21.6167	-103.826
3630.78	20.8157	-103.883
3981.07	20.007	-103.926
4365.16	19.2119	-103.962
4786.3	18.4116	-104.04
5248.07	17.6136	-103.921
5754.4	16.8087	-104.056
6309.57	16.0111	-103.996
6918.31	15.2087	-104.083
7585.78	14.4098	-104.076
8317.64	13.6046	-104.101
9120.11	12.8214	-103.98
10000	12.0056	-104.181
10964.8	11.2163	-104.084
12022.6	10.4022	-104.152
13182.6	9.60595	-104.152
14454.4	8.80658	-104.101
15848.9	8.01412	-104.17
17378	7.21044	-104.148
19054.6	6.4634	-112.051
20893	5.6074	-104.211
22908.7	4.80556	-104.203
25118.9	4.07187	-112.034
27542.3	3.20192	-113.207
30199.5	2.40135	-104.217
33113.1	1.61586	-104.091
36307.8	0.808622	-113.17
39810.7	0.00391449	-113.218
43651.6	-0.789871	-113.074
47863	-1.58772	-113.1
52480.7	-2.40162	-104.251
57544	-3.18701	-104.088
63095.7	-3.97575	-108.929
69183.1	-4.79008	-113.117
75857.8	-5.59162	-113.11
83176.4	-6.38841	-113.152
91201.1	-7.19977	-113.216
100000	-7.98544	-113.086
